sales,date,region,product
668.19,2024-01-19,west,pink morsel
391.74,2024-01-20,north,pink morsel
880.9,2024-01-20,east,pink morsel
585.3,2024-01-20,south,pink morsel
119.13,2024-01-20,west,pink morsel
919.93,2024-01-21,north,pink morsel
131.46,2024-01-21,east,pink morsel
728.96,2024-01-21,south,pink morsel
131.99,2024-01-21,west,pink morsel
982.27,2024-01-22,north,pink morsel
870.09,2024-01-22,east,pink morsel
390.93,2024-01-22,south,pink morsel
891.23,2024-01-22,west,pink morsel
317.93,2024-01-23,north,pink morsel
775.59,2024-01-23,east,pink morsel
338.99,2024-01-23,south,pink morsel
435.94,2024-01-23,west,pink morsel
280.83,2024-01-24,north,pink morsel
928.71,2024-01-24,east,pink morsel
233.96,2024-01-24,south,pink morsel
627.42,2024-01-24,west,pink morsel
852.7,2024-01-25,north,pink morsel
970.42,2024-01-25,east,pink morsel
745.27,2024-01-25,south,pink morsel
985.2,2024-01-25,west,pink morsel
908.63,2024-01-26,north,pink morsel
747.23,2024-01-26,east,pink morsel
350.72,2024-01-26,south,pink morsel
241.52,2024-01-26,west,pink morsel
617.73,2024-01-27,north,pink morsel
639.45,2024-01-27,east,pink morsel
858.17,2024-01-27,south,pink morsel
670.2,2024-01-27,west,pink morsel
831.1,2024-01-28,north,pink morsel
708.14,2024-01-28,east,pink morsel
792.03,2024-01-28,south,pink morsel
376.31,2024-01-28,west,pink morsel
660.75,2024-01-29,north,pink morsel
295.12,2024-01-29,east,pink morsel
792.51,2024-01-29,south,pink morsel
429.96,2024-01-29,west,pink morsel
511.85,2024-01-30,north,pink morsel
960.12,2024-01-30,east,pink morsel
977.84,2024-01-30,south,pink morsel
493.46,2024-01-30,west,pink morsel
442.32,2024-01-31,north,pink morsel
951.36,2024-01-31,east,pink morsel
867.16,2024-01-31,south,pink morsel
503.49,2024-01-31,west,pink morsel
337.68,2024-02-01,north,pink morsel
659.13,2024-02-01,east,pink morsel
762.24,2024-02-01,south,pink morsel
165.47,2024-02-01,west,pink morsel
864.88,2024-02-02,north,pink morsel
551.58,2024-02-02,east,pink morsel
162.25,2024-02-02,south,pink morsel
668.02,2024-02-02,west,pink morsel
652.99,2024-02-03,north,pink morsel
528.28,2024-02-03,east,pink morsel
366.18,2024-02-03,south,pink morsel
771.91,2024-02-03,west,pink morsel
193.19,2024-02-04,north,pink morsel
847.68,2024-02-04,east,pink morsel
978.77,2024-02-04,south,pink morsel
555.04,2024-02-04,west,pink morsel
377.2,2024-02-05,north,pink morsel
214.48,2024-02-05,east,pink morsel
351.52,2024-02-05,south,pink morsel
792.99,2024-02-05,west,pink morsel
366.38,2024-02-06,north,pink morsel
884.88,2024-02-06,east,pink morsel
313.75,2024-02-06,south,pink morsel
742.6,2024-02-06,west,pink morsel
815.09,2024-02-07,north,pink morsel
574.34,2024-02-07,east,pink morsel
334.04,2024-02-07,south,pink morsel
137.53,2024-02-07,west,pink morsel
861.07,2024-02-08,north,pink morsel
746.43,2024-02-08,east,pink morsel
944.54,2024-02-08,south,pink morsel
341.2,2024-02-08,west,pink morsel
885.18,2024-02-09,north,pink morsel
654.97,2024-02-09,east,pink morsel
119.02,2024-02-09,south,pink morsel
880.48,2024-02-09,west,pink morsel
607.22,2024-02-10,north,pink morsel
493.49,2024-02-10,east,pink morsel
126.9,2024-02-10,south,pink morsel
581.47,2024-02-10,west,pink morsel
388.22,2024-02-11,north,pink morsel
657.1,2024-02-11,east,pink morsel
638.77,2024-02-11,south,pink morsel
256.29,2024-02-11,west,pink morsel
222.63,2024-02-12,north,pink morsel
724.76,2024-02-12,east,pink morsel
958.2,2024-02-12,south,pink morsel
202.36,2024-02-12,west,pink morsel
407.67,2024-02-13,north,pink morsel
799.76,2024-02-13,east,pink morsel
382.34,2024-02-13,south,pink morsel
776.61,2024-02-13,west,pink morsel
817.03,2024-02-14,north,pink morsel
657.92,2024-02-14,east,pink morsel
597.6,2024-02-14,south,pink morsel
152.45,2024-02-14,west,pink morsel
174.59,2024-02-15,north,pink morsel
365.76,2024-02-15,east,pink morsel
805.26,2024-02-15,south,pink morsel
936.5,2024-02-15,west,pink morsel
648.22,2024-02-16,north,pink morsel
581.12,2024-02-16,east,pink morsel
668.06,2024-02-16,south,pink morsel
187.25,2024-02-16,west,pink morsel
304.34,2024-02-17,north,pink morsel
285.41,2024-02-17,east,pink morsel
527.94,2024-02-17,south,pink morsel
993.14,2024-02-17,west,pink morsel
807.87,2024-02-18,north,pink morsel
337.46,2024-02-18,east,pink morsel
180.82,2024-02-18,south,pink morsel
787.86,2024-02-18,west,pink morsel
385.59,2024-02-19,north,pink morsel
262.54,2024-02-19,east,pink morsel
321.53,2024-02-19,south,pink morsel
294.45,2024-02-19,west,pink morsel
438.65,2024-02-20,north,pink morsel
326.16,2024-02-20,east,pink morsel
508.5,2024-02-20,south,pink morsel
152.78,2024-02-20,west,pink morsel
317.14,2024-02-21,north,pink morsel
349.5,2024-02-21,east,pink morsel
458.34,2024-02-21,south,pink morsel
644.11,2024-02-21,west,pink morsel
437.93,2024-02-22,north,pink morsel
451.12,2024-02-22,east,pink morsel
811.93,2024-02-22,south,pink morsel
882.19,2024-02-22,west,pink morsel
366.54,2024-02-23,north,pink morsel
839.08,2024-02-23,east,pink morsel
177.14,2024-02-23,south,pink morsel
655.75,2024-02-23,west,pink morsel
616.65,2024-02-24,north,pink morsel
899.25,2024-02-24,east,pink morsel
502.88,2024-02-24,south,pink morsel
357.49,2024-02-24,west,pink morsel
942.16,2024-02-25,north,pink morsel
679.27,2024-02-25,east,pink morsel
993.6,2024-02-25,south,pink morsel
866.22,2024-02-25,west,pink morsel
464.34,2024-02-26,north,pink morsel
914.22,2024-02-26,east,pink morsel
227.17,2024-02-26,south,pink morsel
410.68,2024-02-26,west,pink morsel
835.73,2024-02-27,north,pink morsel
213.95,2024-02-27,east,pink morsel
391.59,2024-02-27,south,pink morsel
831.01,2024-02-27,west,pink morsel
281.13,2024-02-28,north,pink morsel
337.71,2024-02-28,east,pink morsel
323.72,2024-02-28,south,pink morsel
974.36,2024-02-28,west,pink morsel
207.13,2024-02-29,north,pink morsel
393.85,2024-02-29,east,pink morsel
894.16,2024-02-29,south,pink morsel
514.92,2024-02-29,west,pink morsel
158.89,2024-03-01,north,pink morsel
592.96,2024-03-01,east,pink morsel
118.87,2024-03-01,south,pink morsel
688.42,2024-03-01,west,pink morsel
660.47,2024-03-02,north,pink morsel
762.35,2024-03-02,east,pink morsel
971.08,2024-03-02,south,pink morsel
991.98,2024-03-02,west,pink morsel
590.74,2024-03-03,north,pink morsel
973.53,2024-03-03,east,pink morsel
561.37,2024-03-03,south,pink morsel
626.91,2024-03-03,west,pink morsel
438.82,2024-03-04,north,pink morsel
308.03,2024-03-04,east,pink morsel
369.91,2024-03-04,south,pink morsel
948.65,2024-03-04,west,pink morsel
251.87,2024-03-05,north,pink morsel
972.2,2024-03-05,east,pink morsel
559.17,2024-03-05,south,pink morsel
854.61,2024-03-05,west,pink morsel
273.01,2024-03-06,north,pink morsel
486.27,2024-03-06,east,pink morsel
305.32,2024-03-06,south,pink morsel
659.11,2024-03-06,west,pink morsel
549.23,2024-03-07,north,pink morsel
950.58,2024-03-07,east,pink morsel
598.32,2024-03-07,south,pink morsel
483.58,2024-03-07,west,pink morsel
679.71,2024-03-08,north,pink morsel
127.17,2024-03-08,east,pink morsel
338.97,2024-03-08,south,pink morsel
100.97,2024-03-08,west,pink morsel
299.91,2024-03-09,north,pink morsel
128.43,2024-03-09,east,pink morsel
937.06,2024-03-09,south,pink morsel
364.91,2024-03-09,west,pink morsel
962.79,2024-03-10,north,pink morsel
133.84,2024-03-10,east,pink morsel
639.06,2024-03-10,south,pink morsel
918.23,2024-03-10,west,pink morsel
466.29,2024-03-11,north,pink morsel
223.74,2024-03-11,east,pink morsel
449.21,2024-03-11,south,pink morsel
692.78,2024-03-11,west,pink morsel
780.65,2024-03-12,north,pink morsel
383.79,2024-03-12,east,pink morsel
223.86,2024-03-12,south,pink morsel
956.79,2024-03-12,west,pink morsel
756.24,2024-03-13,north,pink morsel
748.8,2024-03-13,east,pink morsel
466.14,2024-03-13,south,pink morsel
243.07,2024-03-13,west,pink morsel
360.49,2024-03-14,north,pink morsel
104.87,2024-03-14,east,pink morsel
239.77,2024-03-14,south,pink morsel
826.86,2024-03-14,west,pink morsel
840.85,2024-03-15,north,pink morsel
451.81,2024-03-15,east,pink morsel
687.45,2024-03-15,south,pink morsel
157.86,2024-03-15,west,pink morsel
725.02,2024-03-16,north,pink morsel
805.51,2024-03-16,east,pink morsel
397.55,2024-03-16,south,pink morsel
751.34,2024-03-16,west,pink morsel
800.44,2024-03-17,north,pink morsel
953.03,2024-03-17,east,pink morsel
998.83,2024-03-17,south,pink morsel
775.94,2024-03-17,west,pink morsel
496.07,2024-03-18,north,pink morsel
153.59,2024-03-18,east,pink morsel
897.16,2024-03-18,south,pink morsel
803.19,2024-03-18,west,pink morsel
478.91,2024-03-19,north,pink morsel
229.23,2024-03-19,east,pink morsel
476.56,2024-03-19,south,pink morsel
798.44,2024-03-19,west,pink morsel
300.48,2024-03-20,north,pink morsel
127.49,2024-03-20,east,pink morsel
568.46,2024-03-20,south,pink morsel
319.36,2024-03-20,west,pink morsel
348.04,2024-03-21,north,pink morsel
443.41,2024-03-21,east,pink morsel
716.31,2024-03-21,south,pink morsel
862.44,2024-03-21,west,pink morsel
812.54,2024-03-22,north,pink morsel
427.95,2024-03-22,east,pink morsel
289.13,2024-03-22,south,pink morsel
196.42,2024-03-22,west,pink morsel
296.4,2024-03-23,north,pink morsel
726.61,2024-03-23,east,pink morsel
200.26,2024-03-23,south,pink morsel
337.93,2024-03-23,west,pink morsel
954.89,2024-03-24,north,pink morsel
781.37,2024-03-24,east,pink morsel
818.36,2024-03-24,south,pink morsel
385.51,2024-03-24,west,pink morsel
899.6,2024-03-25,north,pink morsel
531.82,2024-03-25,east,pink morsel
757.01,2024-03-25,south,pink morsel
632.89,2024-03-25,west,pink morsel
134.87,2024-03-26,north,pink morsel
860.95,2024-03-26,east,pink morsel
141.51,2024-03-26,south,pink morsel
439.29,2024-03-26,west,pink morsel
437.02,2024-03-27,north,pink morsel
843.69,2024-03-27,east,pink morsel
829.51,2024-03-27,south,pink morsel
893.57,2024-03-27,west,pink morsel
764.87,2024-03-28,north,pink morsel
273.7,2024-03-28,east,pink morsel
785.84,2024-03-28,south,pink morsel
102.55,2024-03-28,west,pink morsel
184.49,2024-03-29,north,pink morsel
967.94,2024-03-29,east,pink morsel
979.03,2024-03-29,south,pink morsel
830.46,2024-03-29,west,pink morsel
995.84,2024-03-30,north,pink morsel
289.21,2024-03-30,east,pink morsel
574.26,2024-03-30,south,pink morsel
218.94,2024-03-30,west,pink morsel
688.82,2024-03-31,north,pink morsel
368.7,2024-03-31,east,pink morsel
464.09,2024-03-31,south,pink morsel
225.55,2024-03-31,west,pink morsel
609.86,2024-04-01,north,pink morsel
308.17,2024-04-01,east,pink morsel
858.9,2024-04-01,south,pink morsel
893.91,2024-04-01,west,pink morsel
509.57,2024-04-02,north,pink morsel
484.8,2024-04-02,east,pink morsel
727.82,2024-04-02,south,pink morsel
835.6,2024-04-02,west,pink morsel
792.89,2024-04-03,north,pink morsel
373.82,2024-04-03,east,pink morsel
589.29,2024-04-03,south,pink morsel
439.23,2024-04-03,west,pink morsel
723.28,2024-04-04,north,pink morsel
975.1,2024-04-04,east,pink morsel
948.04,2024-04-04,south,pink morsel
377.31,2024-04-04,west,pink morsel
787.69,2024-04-05,north,pink morsel
811.25,2024-04-05,east,pink morsel
880.03,2024-04-05,south,pink morsel
649.48,2024-04-05,west,pink morsel
670.86,2024-04-06,north,pink morsel
614.11,2024-04-06,east,pink morsel
937.79,2024-04-06,south,pink morsel
293.87,2024-04-06,west,pink morsel
919.01,2024-04-07,north,pink morsel
554.85,2024-04-07,east,pink morsel
455.36,2024-04-07,south,pink morsel
297.89,2024-04-07,west,pink morsel
263.45,2024-04-08,north,pink morsel
642.29,2024-04-08,east,pink morsel
211.72,2024-04-08,south,pink morsel
573.86,2024-04-08,west,pink morsel
507.72,2024-04-09,north,pink morsel
334.97,2024-04-09,east,pink morsel
718.51,2024-04-09,south,pink morsel
913.65,2024-04-09,west,pink morsel
